id	eixo	curso	cd_cbo	desc_cbo	marc_inc
23	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrotécnica 	313125	Técnico de manutenção elétrica de máquina	
24	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrotécnica 	313130	Técnico eletricista	
25	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Eletrotécnica 	318705	Desenhista projetista de eletricidade	
26	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Fabricação Mecânica 	314110	Técnico mecânico	
27	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Fabricação Mecânica 	391125	Técnico de planejamento de produção	
28	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Fabricação Mecânica 	314205	Técnico mecânico na fabricação de ferramentas	
29	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Fabricação Mecânica 	314610	Técnico em caldeiraria	
30	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção Automotiva 	314305	Técnico em automobilística	
31	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção Automotiva 	314405	Técnico de manutenção de sistemas e instrumentos	
32	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Aviônicos 	314310	Técnico mecânico (aeronaves)	
33	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Aviônicos 	341115	Mecânico de vôo	
34	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Aviônicos 	914105	Mecânico de manutenção de aeronaves, em geral	
35	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Aviônicos 	314405	Técnico de manutenção de sistemas e instrumentos	
36	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Célula 	314310	Técnico mecânico (aeronaves)	
37	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Célula 	341115	Mecânico de vôo	
38	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Célula 	914105	Mecânico de manutenção de aeronaves, em geral	
39	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Célula 	914110	Mecânico de manutenção de sistema hidráulico de aeronaves (serviços de pista e hangar)	
40	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Célula 	314405	Técnico de manutenção de sistemas e instrumentos	
41	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Grupo Motopropulsor 	314310	Técnico mecânico (aeronaves)	
42	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Grupo Motopropulsor 	341115	Mecânico de vôo	
43	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Grupo Motopropulsor 	725405	Mecânico montador de motores de aeronaves	
44	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Grupo Motopropulsor 	725605	Montador de estruturas de aeronaves	
45	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Aeronaves em Grupo Motopropulsor 	314405	Técnico de manutenção de sistemas e instrumentos	
46	CONTROLE E PROCESSOS INDUSTRIAIS 	Técnico em Manutenção de Máquinas Industriais 	314410	Técnico em manutenção de máquinas	
